320x480 Mapping,480x320 Mapping,768x1024 Mapping,1024x768 Mapping,Exists in both 320x480 and 768x1024,Exists in both 480x320 and 1024x768
1080x2081,1432x720,1080x2171,1280x755,,
1080x2068,1536x864,720x1514,1565x810,,
1080x2265,2200x1080,1080x2239,2240x1327,,
,1478x720,720x1462,1024x536,,
1080x2214,1332x720,1600x2434,1366x832,,
810x1583,2260x1080,1536x1952,1208x720,,
1080x2196,2265x1080,1600x2526,2000x1134,,
1080x2121,1379x720,,2240x1400,,
720x1450,2111x1080,720x1497,1920x1115,,
,1675x864,1200x1888,1280x743,,
,2214x1080,1303x1982,550x385,,
720x1481,1452x720,1080x2175,1680x992,,
1080x2150,1544x720,720x1507,1750x992,,
720x1460,1454x720,1080x2235,1836x1200,,
1080x2340,2141x1080,1080x2241,1920x1129,,
720x1520,1661x864,720x1516,1440x819,,
720x1439,2264x1036,1272x1963,1830x1200,,
1080x2285,1399x720,720x1512,1518x773,,
720x1332,2028x1080,,,,
1080x2172,2181x1080,900x1359,2560x1495,,
720x1368,1358x720,,1920x1110,,
720x1362,2058x1080,720x1414,1745x881,,
1080x2038,2167x1080,720x1463,1920x1172,,
1080x2064,2180x1080,720x1532,1022x552,,
720x1452,2064x1080,,1280x747,,
1080x2037,,,1920x1136,,
720x1379,2298x1036,,1803x1200,,
720x1441,1585x810,,1495x671,,
,2062x1080,720x1429,1920x1175,,
,2172x1080,,1280x758,,
1080x2147,1444x720,1200x1835,1920x1114,,
1080x2173,2264x1080,500x800,1280x742,,
720x1444,2210x1080,1200x1974,,,
1080x2394,1360x720,1200x1866,2452x1600,,
